DT,HDD,CDD
2018-01-01T04:00:00Z,"62.4456253,",0
2018-01-01T04:30:00Z,"8.196579,",0
2018-01-01T05:00:00Z,"60.28583,",0
2018-01-01T05:30:00Z,"36.82805,",0
2018-01-01T06:00:00Z,"7.16899538,",0
2018-01-01T06:30:00Z,"49.5842361,",0
2018-01-01T07:00:00Z,"23.9395466,",0
2018-01-01T07:30:00Z,"30.09659,",0
2018-01-01T08:00:00Z,"86.05798,",0
2018-01-01T08:30:00Z,"86.46828,",0
2018-01-01T09:00:00Z,"76.32712,",0
2018-01-01T09:30:00Z,"76.40548,",0
2018-01-01T10:00:00Z,"51.41923,",0
2018-01-01T10:30:00Z,"40.5422478,",0
2018-01-01T11:00:00Z,"14.498662,",0
2018-01-01T11:30:00Z,"1.87523437,",0
2018-01-01T12:00:00Z,"38.4373131,",0
2018-01-01T12:30:00Z,"62.1291237,",0
2018-01-01T13:00:00Z,"62.5207825,",0
2018-01-01T13:30:00Z,"61.64124,",0
2018-01-01T14:00:00Z,"50.36421,",0
2018-01-01T14:30:00Z,"59.7545471,",0
2018-01-01T15:00:00Z,"57.84691,",0
2018-01-01T15:30:00Z,"51.8988724,",0
2018-01-01T16:00:00Z,"47.7838631,",0
2018-01-01T16:30:00Z,"50.00328,",0
2018-01-01T17:00:00Z,"51.4923363,",0
2018-01-01T17:30:00Z,"49.43711,",0
2018-01-01T18:00:00Z,"52.3572159,",0
2018-01-01T18:30:00Z,"46.0507126,",0
2018-01-01T19:00:00Z,"53.850853,",0
2018-01-01T19:30:00Z,"54.4516678,",0
2018-01-01T20:00:00Z,"68.01446,",0
2018-01-01T20:30:00Z,"47.3439827,",0
2018-01-01T21:00:00Z,"57.2464027,",0
2018-01-01T21:30:00Z,"53.72474,",0
2018-01-01T22:00:00Z,"53.6715164,",0
2018-01-01T22:30:00Z,"50.5110245,",0
2018-01-01T23:00:00Z,"59.7466965,",0
2018-01-01T23:30:00Z,"55.6366043,",0
2018-01-02T00:00:00Z,"52.9551926,",0
2018-01-02T00:30:00Z,"51.76739,",0
2018-01-02T01:00:00Z,"8.501759,",0
2018-01-02T01:30:00Z,"4.79948235,",0
2018-01-02T02:00:00Z,"49.40766,",0
2018-01-02T02:30:00Z,"59.5402069,",0
2018-01-02T03:00:00Z,"23.08498,",0
2018-01-02T03:30:00Z,"5.509876,",0
2018-01-02T04:00:00Z,"8.443009,",0
2018-01-02T04:30:00Z,"8.549827,",0
2018-01-02T05:00:00Z,"6.386106,",0
2018-01-02T05:30:00Z,"6.43075,",0
