Date time,indoorRH (%),outdoorRH(%)
2018-01-01T04:00:00Z,15.06 ,82.4
2018-01-01T04:30:00Z,15.09 ,81.2
2018-01-01T05:00:00Z,15.13 ,81.4
2018-01-01T05:30:00Z,15.21 ,81.9
2018-01-01T06:00:00Z,15.23 ,82.5
2018-01-01T06:30:00Z,15.26 ,82.7
2018-01-01T07:00:00Z,15.21 ,82.5
2018-01-01T07:30:00Z,15.24 ,83
2018-01-01T08:00:00Z,15.25 ,83.3
2018-01-01T08:30:00Z,15.26 ,83.6
2018-01-01T09:00:00Z,15.23 ,84.2
2018-01-01T09:30:00Z,15.24 ,84.8
2018-01-01T10:00:00Z,15.24 ,84.6
2018-01-01T10:30:00Z,15.18 ,83.8
2018-01-01T11:00:00Z,15.18 ,82.8
2018-01-01T11:30:00Z,15.16 ,82.6
2018-01-01T12:00:00Z,15.13 ,82.3
2018-01-01T12:30:00Z,14.97 ,82.1
2018-01-01T13:00:00Z,14.80 ,82.3
2018-01-01T13:30:00Z,14.65 ,81.7
2018-01-01T14:00:00Z,14.53 ,81.5
2018-01-01T14:30:00Z,14.48 ,79.8
2018-01-01T15:00:00Z,14.22 ,78.6
2018-01-01T15:30:00Z,14.10 ,76.8
2018-01-01T16:00:00Z,13.92 ,77.2
2018-01-01T16:30:00Z,13.78 ,75.3
2018-01-01T17:00:00Z,13.67 ,74.8
2018-01-01T17:30:00Z,13.61 ,76
2018-01-01T18:00:00Z,13.43 ,74.3
2018-01-01T18:30:00Z,13.41 ,73.7
2018-01-01T19:00:00Z,13.34 ,72.3
2018-01-01T19:30:00Z,13.29 ,75.2
2018-01-01T20:00:00Z,13.28 ,80.4
2018-01-01T20:30:00Z,13.47 ,75.2
2018-01-01T21:00:00Z,13.62 ,70.4
2018-01-01T21:30:00Z,13.61 ,68.9
2018-01-01T22:00:00Z,13.59 ,69.4
2018-01-01T22:30:00Z,13.51 ,73.7
2018-01-01T23:00:00Z,13.34 ,76.6
2018-01-01T23:30:00Z,13.16 ,67.8
2018-01-02T00:00:00Z,13.11 ,66.5
2018-01-02T00:30:00Z,13.01 ,67.7
2018-01-02T01:00:00Z,13.01 ,67.3
2018-01-02T01:30:00Z,13.01 ,68
2018-01-02T02:00:00Z,13.18 ,68.9
2018-01-02T02:30:00Z,13.39 ,69.7
2018-01-02T03:00:00Z,13.62 ,70.8
2018-01-02T03:30:00Z,13.75 ,71.5
2018-01-02T04:00:00Z,13.79 ,73.7
2018-01-02T04:30:00Z,13.92 ,73.8
2018-01-02T05:00:00Z,13.90 ,73.2
2018-01-02T05:30:00Z,13.92 ,72.7
2018-01-02T06:00:00Z,13.95 ,73.5
2018-01-02T06:30:00Z,13.95 ,73.8
2018-01-02T07:00:00Z,13.95 ,72.9
2018-01-02T07:30:00Z,14.00 ,72.8
2018-01-02T08:00:00Z,14.05 ,74.5
2018-01-02T08:30:00Z,14.08 ,77.5
2018-01-02T09:00:00Z,14.10 ,76.5
2018-01-02T09:30:00Z,14.16 ,76.4
2018-01-02T10:00:00Z,14.16 ,75.6
2018-01-02T10:30:00Z,14.23 ,75.6
2018-01-02T11:00:00Z,14.31 ,76
2018-01-02T11:30:00Z,14.30 ,76.2
2018-01-02T12:00:00Z,14.30 ,76.2
2018-01-02T12:30:00Z,14.25 ,76.9
2018-01-02T13:00:00Z,14.18 ,77.6
2018-01-02T13:30:00Z,14.05 ,76.8
2018-01-02T14:00:00Z,14.00 ,77.9
2018-01-02T14:30:00Z,13.87 ,77.8
2018-01-02T15:00:00Z,13.82 ,75
2018-01-02T15:30:00Z,13.74 ,75.1
2018-01-02T16:00:00Z,13.67 ,74.9
2018-01-02T16:30:00Z,13.54 ,73.6
2018-01-02T17:00:00Z,13.54 ,71.3
2018-01-02T17:30:00Z,13.45 ,70.1
2018-01-02T18:00:00Z,13.26 ,68.2
2018-01-02T18:30:00Z,13.29 ,65.6
2018-01-02T19:00:00Z,13.20 ,64.9
2018-01-02T19:30:00Z,13.14 ,63.2
2018-01-02T20:00:00Z,13.09 ,63.1
2018-01-02T20:30:00Z,12.91 ,61
2018-01-02T21:00:00Z,12.91 ,60.8
2018-01-02T21:30:00Z,12.86 ,61.5
2018-01-02T22:00:00Z,12.89 ,61.7
2018-01-02T22:30:00Z,12.86 ,62.3
2018-01-02T23:00:00Z,12.89 ,64.2
2018-01-02T23:30:00Z,12.84 ,65.4
2018-01-03T00:00:00Z,12.81 ,66.2
2018-01-03T00:30:00Z,12.81 ,66.9
2018-01-03T01:00:00Z,12.81 ,67.9
2018-01-03T01:30:00Z,12.81 ,68.5
2018-01-03T02:00:00Z,12.99 ,69
2018-01-03T02:30:00Z,13.22 ,69.6
2018-01-03T03:00:00Z,13.42 ,70.3
2018-01-03T03:30:00Z,13.57 ,71
2018-01-03T04:00:00Z,13.67 ,71.9
2018-01-03T04:30:00Z,13.75 ,72.1
2018-01-03T05:00:00Z,13.82 ,72.3
2018-01-03T05:30:00Z,13.82 ,72.8
2018-01-03T06:00:00Z,13.84 ,73.4
