Timestamp,Indoor Air Temeprature
2018-01-01T04:00:00Z,"66.95789,"
2018-01-01T04:30:00Z,"66.69169,"
2018-01-01T05:00:00Z,"66.44537,"
2018-01-01T05:30:00Z,"66.22937,"
2018-01-01T06:00:00Z,"66.0285339,"
2018-01-01T06:30:00Z,"65.8513641,"
2018-01-01T07:00:00Z,"65.70453,"
2018-01-01T07:30:00Z,"65.54253,"
2018-01-01T08:00:00Z,"65.41653,"
2018-01-01T08:30:00Z,"65.30569,"
2018-01-01T09:00:00Z,"65.21853,"
2018-01-01T09:30:00Z,"65.11053,"
2018-01-01T10:00:00Z,"65.02052,"
2018-01-01T10:30:00Z,"64.98168,"
2018-01-01T11:00:00Z,"64.91253,"
2018-01-01T11:30:00Z,"64.868,"
2018-01-01T12:00:00Z,"64.832,"
2018-01-01T12:30:00Z,"65.16642,"
2018-01-01T13:00:00Z,"65.62495,"
2018-01-01T13:30:00Z,"66.0721054,"
2018-01-01T14:00:00Z,"66.53726,"
2018-01-01T14:30:00Z,"67.07158,"
2018-01-01T15:00:00Z,"67.74989,"
2018-01-01T15:30:00Z,"68.44905,"
2018-01-01T16:00:00Z,"69.17999,"
2018-01-01T16:30:00Z,"69.80095,"
2018-01-01T17:00:00Z,"70.2206345,"
2018-01-01T17:30:00Z,"70.58253,"
2018-01-01T18:00:00Z,"70.76632,"
2018-01-01T18:30:00Z,"70.98989,"
2018-01-01T19:00:00Z,"71.12632,"
2018-01-01T19:30:00Z,"71.16611,"
2018-01-01T20:00:00Z,"71.15379,"
2018-01-01T20:30:00Z,"71.132,"
2018-01-01T21:00:00Z,"71.079895,"
2018-01-01T21:30:00Z,"70.99558,"
2018-01-01T22:00:00Z,"71.02021,"
2018-01-01T22:30:00Z,"71.07611,"
2018-01-01T23:00:00Z,"71.00789,"
2018-01-01T23:30:00Z,"70.84968,"
2018-01-02T00:00:00Z,"70.66779,"
2018-01-02T00:30:00Z,"70.50579,"
2018-01-02T01:00:00Z,"70.4157944,"
2018-01-02T01:30:00Z,"69.94873,"
2018-01-02T02:00:00Z,"69.06579,"
2018-01-02T02:30:00Z,"68.32021,"
2018-01-02T03:00:00Z,"67.65326,"
2018-01-02T03:30:00Z,"67.13032,"
2018-01-02T04:00:00Z,"66.69737,"
2018-01-02T04:30:00Z,"66.3648453,"
2018-01-02T05:00:00Z,"66.09295,"
2018-01-02T05:30:00Z,"65.84284,"
2018-01-02T06:00:00Z,"65.60885,"
2018-01-02T06:30:00Z,"65.3843155,"
2018-01-02T07:00:00Z,"65.2478943,"
2018-01-02T07:30:00Z,"65.09441,"
2018-01-02T08:00:00Z,"64.97695,"
2018-01-02T08:30:00Z,"64.89452,"
2018-01-02T09:00:00Z,"64.8244247,"
2018-01-02T09:30:00Z,"64.77895,"
2018-01-02T10:00:00Z,"64.7334747,"
2018-01-02T10:30:00Z,"64.688,"
2018-01-02T11:00:00Z,"64.62547,"
2018-01-02T11:30:00Z,"64.58948,"
2018-01-02T12:00:00Z,"64.56295,"
2018-01-02T12:30:00Z,"64.84715,"
2018-01-02T13:00:00Z,"65.30569,"
2018-01-02T13:30:00Z,"65.72821,"
2018-01-02T14:00:00Z,"66.09769,"
2018-01-02T14:30:00Z,"66.48421,"
2018-01-02T15:00:00Z,"66.88116,"
2018-01-02T15:30:00Z,"67.3216858,"
2018-01-02T16:00:00Z,"67.7082062,"
2018-01-02T16:30:00Z,"68.14021,"
2018-01-02T17:00:00Z,"68.53526,"
2018-01-02T17:30:00Z,"69.03264,"
2018-01-02T18:00:00Z,"69.4892654,"
2018-01-02T18:30:00Z,"69.90516,"
2018-01-02T19:00:00Z,"70.2471542,"
2018-01-02T19:30:00Z,"70.59674,"
2018-01-02T20:00:00Z,"70.80705,"
2018-01-02T20:30:00Z,"71.08558,"
2018-01-02T21:00:00Z,"71.26558,"
2018-01-02T21:30:00Z,"71.2864151,"
2018-01-02T22:00:00Z,"71.168,"
2018-01-02T22:30:00Z,"71.1405258,"
2018-01-02T23:00:00Z,"71.096,"
2018-01-02T23:30:00Z,"71.08748,"
2018-01-03T00:00:00Z,"71.06947,"
2018-01-03T00:30:00Z,"70.99842,"
2018-01-03T01:00:00Z,"70.90747,"
2018-01-03T01:30:00Z,"70.51716,"
2018-01-03T02:00:00Z,"69.64859,"
2018-01-03T02:30:00Z,"68.774,"
2018-01-03T03:00:00Z,"68.108,"
2018-01-03T03:30:00Z,"67.532,"
2018-01-03T04:00:00Z,"67.046,"
2018-01-03T04:30:00Z,"66.668,"
2018-01-03T05:00:00Z,"66.344,"
2018-01-03T05:30:00Z,"66.0919952,"
2018-01-03T06:00:00Z,"65.858,"
2018-01-03T06:30:00Z,"65.66,"
2018-01-03T07:00:00Z,"65.4799957,"
2018-01-03T07:30:00Z,"65.318,"
2018-01-03T08:00:00Z,"65.21,"
2018-01-03T08:30:00Z,"65.084,"
2018-01-03T09:00:00Z,"64.976,"
2018-01-03T09:30:00Z,"64.868,"
2018-01-03T10:00:00Z,"64.778,"
2018-01-03T10:30:00Z,"64.70599,"
2018-01-03T11:00:00Z,"64.67,"
2018-01-03T11:30:00Z,"64.616,"
2018-01-03T12:00:00Z,"64.544,"
2018-01-03T12:30:00Z,"64.7420044,"
2018-01-03T13:00:00Z,"65.173996,"
2018-01-03T13:30:00Z,"65.642,"
2018-01-03T14:00:00Z,"66.35348,"
2018-01-03T14:30:00Z,"67.08011,"
2018-01-03T15:00:00Z,"67.86358,"
2018-01-03T15:30:00Z,"68.65084,"
2018-01-03T16:00:00Z,"69.40116,"
2018-01-03T16:30:00Z,"70.11547,"
2018-01-03T17:00:00Z,"70.68011,"
2018-01-03T17:30:00Z,"70.6459961,"
2018-01-03T18:00:00Z,"70.97853,"
2018-01-03T18:30:00Z,"71.33285,"
2018-01-03T19:00:00Z,"71.47684,"
2018-01-03T19:30:00Z,"71.46074,"
2018-01-03T20:00:00Z,"71.40958,"
2018-01-03T20:30:00Z,"71.54884,"
2018-01-03T21:00:00Z,"71.51758,"
2018-01-03T21:30:00Z,"71.55358,"
2018-01-03T22:00:00Z,"71.42758,"
2018-01-03T22:30:00Z,"71.37831,"
2018-01-03T23:00:00Z,"71.41242,"
2018-01-03T23:30:00Z,"71.312,"
2018-01-04T00:00:00Z,"71.41716,"
2018-01-04T00:30:00Z,"71.26084,"
2018-01-04T01:00:00Z,"71.40674,"
2018-01-04T01:30:00Z,"71.00221,"
2018-01-04T02:00:00Z,"70.2299957,"
2018-01-04T02:30:00Z,"69.52147,"
2018-01-04T03:00:00Z,"68.92369,"
2018-01-04T03:30:00Z,"68.4301,"
2018-01-04T04:00:00Z,"68.04832,"
2018-01-04T04:30:00Z,"67.73095,"
2018-01-04T05:00:00Z,"67.4893646,"
2018-01-04T05:30:00Z,"67.30179,"
2018-01-04T06:00:00Z,"67.1009445,"
2018-01-04T06:30:00Z,"66.95979,"
2018-01-04T07:00:00Z,"66.7731552,"
2018-01-04T07:30:00Z,"66.66137,"
2018-01-04T08:00:00Z,"66.53158,"
2018-01-04T08:30:00Z,"66.4557953,"
2018-01-04T09:00:00Z,"66.31937,"
2018-01-04T09:30:00Z,"66.19337,"
2018-01-04T10:00:00Z,"66.1459961,"
2018-01-04T10:30:00Z,"66.21421,"
2018-01-04T11:00:00Z,"66.1895752,"
2018-01-04T11:30:00Z,"66.128006,"
2018-01-04T12:00:00Z,"66.03421,"
2018-01-04T12:30:00Z,"66.39611,"
2018-01-04T13:00:00Z,"66.8679,"
2018-01-04T13:30:00Z,"67.33589,"
2018-01-04T14:00:00Z,"67.7252655,"
2018-01-04T14:30:00Z,"68.09284,"
2018-01-04T15:00:00Z,"68.45568,"
